 Procedimentos hospitalares do SUS - por local de internação - Brasil
Internações por Município e Ano/mês processamento
Procedimento: 0303010223 TRATAMENTO DE INFECÇÃO PELO CORONAVIRUS – COVID 19
Período:Jul-Dez/2020
"Município";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"Total"
"430640 Dois Irmãos";4;3;7;7;2;12;35
"430650 Dom Feliciano";3;-;-;1;3;8;15
"430660 Dom Pedrito";7;24;13;12;17;38;111
"430680 Encantado";8;17;19;12;11;15;82
"430690 Encruzilhada do Sul";3;2;1;3;3;4;16
"430700 Erechim";36;34;56;44;37;41;248
"430750 Espumoso";6;6;13;19;16;17;77
"430760 Estância Velha";23;22;15;15;25;30;130
"430770 Esteio";2;17;45;49;20;33;166
"430780 Estrela";22;25;5;10;-;-;62
"430790 Farroupilha";16;25;24;24;26;46;161
"430800 Faxinal do Soturno";-;-;-;-;2;1;3
"430810 Feliz";2;5;12;2;2;6;29
"430820 Flores da Cunha";5;6;6;4;6;15;42
"430845 Fortaleza dos Valos";-;-;4;5;-;-;9
"430850 Frederico Westphalen";4;10;4;15;4;2;39
"430860 Garibaldi";20;24;13;10;17;17;101
"430870 Gaurama";1;1;3;2;1;8;16
"430890 Getúlio Vargas";6;2;3;8;7;23;49
"430900 Giruá";2;6;4;7;26;-;45
"430910 Gramado";14;40;28;59;42;-;183
"430920 Gravataí";33;20;59;54;74;57;297
"430940 Guaporé";4;18;12;7;4;19;64
"430950 Guarani das Missões";-;-;1;2;11;6;20
"430960 Horizontina";1;3;4;11;7;27;53
"431000 Ibirubá";17;14;21;7;-;-;59
"431010 Igrejinha";21;31;22;23;21;28;146
"431020 Ijuí";6;13;22;9;45;35;130
"431030 Ilópolis";-;-;-;-;-;3;3
"431060 Itaqui";8;14;9;4;2;7;44
"431080 Ivoti";4;8;4;4;8;2;30
"431085 Jaboticaba";-;-;2;-;-;2;4
"431100 Jaguarão";-;2;3;-;3;6;14
"431110 Jaguari";-;-;2;3;13;8;26
"431120 Júlio de Castilhos";1;2;4;10;6;11;34
"431130 Lagoa Vermelha";1;-;8;20;7;16;52
"431140 Lajeado";20;39;14;-;-;-;73
"431180 Marau";16;35;23;11;15;17;117
"431190 Marcelino Ramos";3;-;-;-;4;6;13
"431205 Marques de Souza";16;9;14;5;6;14;64
"431220 Maximiliano de Almeida";4;-;2;1;1;2;10
"431240 Montenegro";29;35;18;14;28;25;149
"431250 Mostardas";-;-;-;5;4;8;17
"431260 Muçum";2;8;7;6;3;3;29
"431265 Não-Me-Toque";1;1;4;7;6;2;21
"431270 Nonoai";1;11;10;17;14;10;63
"431290 Nova Bassano";6;8;9;2;2;12;39
"431300 Nova Bréscia";-;4;-;5;2;2;13
"431320 Nova Petrópolis";1;4;4;4;4;4;21
"431330 Nova Prata";9;12;11;13;8;26;79
"431340 Novo Hamburgo";177;105;90;68;112;120;672
"431350 Osório";29;31;28;33;39;45;205
"431370 Palmeira das Missões";15;17;5;7;18;15;77
"431380 Palmitinho";1;1;2;7;2;-;13
"431390 Panambi";1;4;15;11;12;42;85
"431400 Paraí";1;6;9;4;1;2;23
"431405 Parobé";-;41;47;93;80;66;327
"431410 Passo Fundo";215;231;177;165;103;157;1048
"431420 Pedro Osório";-;6;-;-;1;8;15
"431440 Pelotas";8;80;74;154;93;68;477
"431460 Piratini";1;1;1;3;2;5;13
"431470 Planalto";1;-;-;2;-;6;9
"431480 Portão";15;10;17;13;10;10;75
"431490 Porto Alegre";589;796;1073;955;748;902;5063
"431500 Porto Lucena";-;-;-;-;-;3;3
"431510 Porto Xavier";-;5;8;2;4;4;23
"431515 Progresso";-;4;-;1;-;-;5
"431535 Quinze de Novembro";1;-;3;3;1;1;9
"431560 Rio Grande";98;129;121;97;101;110;656
"431570 Rio Pardo";11;10;5;7;9;12;54
"431575 Riozinho";1;1;3;1;1;-;7
"431580 Roca Sales";2;5;3;3;-;3;16
"431590 Rodeio Bonito";-;-;1;1;2;-;4
"431600 Rolante";4;11;6;6;1;7;35
"431610 Ronda Alta";8;15;3;6;8;13;53
"431620 Rondinha";-;2;4;2;2;9;19
"431640 Rosário do Sul";19;35;22;24;58;72;230
"431645 Salto do Jacuí";-;-;1;3;1;1;6
"431660 Sananduva";13;9;8;40;16;18;104
"431710 Sant'Ana do Livramento";7;12;5;3;4;11;42
"431670 Santa Bárbara do Sul";-;-;1;12;20;12;45
"431680 Santa Cruz do Sul";11;16;22;32;11;31;123
"431690 Santa Maria";57;54;102;89;63;112;477
"431720 Santa Rosa";23;39;72;37;18;72;261
"431730 Santa Vitória do Palmar";5;6;8;5;1;6;31
"431740 Santiago";8;8;6;11;17;14;64
"431750 Santo Ângelo";23;17;26;21;23;42;152
"431760 Santo Antônio da Patrulha";24;23;13;11;33;46;150
"431780 Santo Augusto";6;6;6;7;13;31;69
"431790 Santo Cristo";-;1;2;4;1;9;17
"431800 São Borja";15;47;34;57;46;15;214
"431810 São Francisco de Assis";4;3;1;2;4;11;25
"431820 São Francisco de Paula";-;9;8;-;7;6;30
"431830 São Gabriel";26;28;19;7;24;101;205
"431840 São Jerônimo";10;10;37;33;39;32;161
"431843 São João do Polêsine";-;1;1;-;-;-;2
"431850 São José do Norte";4;4;1;-;5;-;14
"431860 São José do Ouro";3;8;15;5;13;21;65
"431870 São Leopoldo";39;85;68;80;90;68;430
"431880 São Lourenço do Sul";2;14;14;10;15;36;91
"431890 São Luiz Gonzaga";1;28;31;19;7;9;95
"431900 São Marcos";1;3;3;6;6;12;31
"431910 São Martinho";-;1;-;-;-;-;1
"431915 São Miguel das Missões";-;-;2;1;1;10;14
"431930 São Paulo das Missões";-;-;-;-;-;1;1
"431940 São Pedro do Sul";-;-;-;5;1;6;12
"431950 São Sebastião do Caí";4;8;26;5;15;11;69
"431960 São Sepé";-;2;6;17;6;7;38
"431990 Sapiranga";51;21;16;13;23;25;149
"432000 Sapucaia do Sul";63;53;39;30;26;64;275
"432010 Sarandi";7;17;10;6;6;16;62
"432020 Seberi";-;-;1;1;1;10;13
"432026 Segredo";1;1;-;-;-;-;2
"432030 Selbach";-;2;-;7;2;1;12
"432040 Serafina Corrêa";6;4;-;5;-;-;15
"432050 Sertão";1;2;-;-;-;2;5
"432060 Severiano de Almeida";2;1;2;2;-;-;7
"432067 Sinimbu";-;1;-;-;-;-;1
"432070 Sobradinho";1;2;2;1;6;15;27
"432080 Soledade";6;9;21;18;22;15;91
"432090 Tapejara";10;13;27;23;12;18;103
"432100 Tapera";-;-;-;-;18;18;36
"432120 Taquara";22;25;13;2;3;17;82
"432130 Taquari";10;22;26;24;12;-;94
"432140 Tenente Portela";14;15;18;12;8;28;95
"432145 Teutônia";34;7;8;7;7;10;73
"432150 Torres";3;12;23;9;26;37;110
"432160 Tramandaí";25;24;20;23;35;49;176
"432170 Três Coroas";13;20;12;12;11;17;85
"432180 Três de Maio";1;-;3;6;15;10;35
"432190 Três Passos";14;15;24;36;22;19;130
"432195 Trindade do Sul";-;2;-;1;1;4;8
"432200 Triunfo";23;5;8;2;3;2;43
"432210 Tucunduva";-;1;1;2;3;1;8
"432220 Tupanciretã";-;1;2;2;1;6;12
"432230 Tuparendi";-;5;6;6;4;7;28
"432240 Uruguaiana";1;9;6;23;40;1;80
"432250 Vacaria";22;16;22;57;9;28;154
"432253 Vale do Sol";-;-;5;3;-;-;8
"432260 Venâncio Aires";38;48;49;44;33;40;252
"432270 Vera Cruz";-;-;4;7;-;5;16
"432280 Veranópolis";5;20;7;9;2;17;60
"432290 Viadutos";-;-;1;-;-;-;1
"432300 Viamão";44;48;25;29;30;38;214
"500020 Água Clara";-;1;-;-;-;-;1
"500070 Anastácio";-;3;7;11;6;6;33
"500080 Anaurilândia";-;-;-;1;-;-;1
"500085 Angélica";-;4;1;-;2;-;7
"500100 Aparecida do Taboado";-;9;2;5;-;-;16
"500110 Aquidauana";-;40;40;52;28;5;165
"500150 Bandeirantes";1;3;-;-;-;-;4
"500190 Bataguassu";-;7;15;-;1;-;23
"500210 Bela Vista";-;-;-;1;-;-;1
"500220 Bonito";-;-;3;4;3;5;15
"500230 Brasilândia";-;4;-;-;1;2;7
"500240 Caarapó";1;5;-;1;1;3;11
"500270 Campo Grande";27;267;458;562;251;275;1840
"500290 Cassilândia";-;10;20;11;-;-;41
"500295 Chapadão do Sul";11;12;27;40;24;19;133
"500320 Corumbá";1;12;69;105;89;129;405
"500325 Costa Rica";7;9;6;14;2;17;55
"500330 Coxim";25;15;18;13;4;15;90
"500345 Deodápolis";1;-;-;-;-;-;1
"500348 Dois Irmãos do Buriti";-;1;3;1;-;4;9
"500370 Dourados";68;70;98;47;-;-;283
"500380 Fátima do Sul";2;6;16;10;3;13;50
"500400 Glória de Dourados";-;-;-;3;1;-;4
"500410 Guia Lopes da Laguna";-;-;1;2;-;1;4
"500430 Iguatemi";6;11;6;2;-;2;27
"500440 Inocência";-;4;5;3;4;1;17
"500450 Itaporã";-;-;3;1;2;1;7
"500460 Itaquiraí";4;2;2;2;-;-;10
"500470 Ivinhema";3;8;10;5;-;6;32
"500500 Jardim";3;-;6;-;1;15;25
"500515 Juti";-;4;2;-;-;2;8
"500560 Miranda";-;-;2;-;-;-;2
"500570 Naviraí";39;40;18;41;3;85;226
"500600 Nova Alvorada do Sul";-;-;1;-;-;-;1
"500620 Nova Andradina";-;5;20;17;21;7;70
"500630 Paranaíba";10;15;28;-;-;-;53
"500635 Paranhos";-;-;4;-;1;-;5
"500640 Pedro Gomes";-;-;-;-;-;1;1
"500660 Ponta Porã";2;6;19;29;54;42;152
"500690 Porto Murtinho";-;-;-;-;3;14;17
"500730 Rio Negro";3;3;1;2;4;4;17
"500740 Rio Verde de Mato Grosso";-;10;2;5;3;-;20
"500769 São Gabriel do Oeste";32;13;11;10;24;35;125
"500770 Sete Quedas";-;-;-;1;1;2;4
"500790 Sidrolândia";8;48;20;10;3;-;89
"500793 Sonora";-;3;1;-;5;5;14
"500795 Tacuru";-;1;1;2;5;-;9
"500797 Taquarussu";-;1;2;3;1;-;7
"500830 Três Lagoas";7;24;50;40;6;25;152
"500840 Vicentina";-;-;-;-;-;1;1
"510020 Água Boa";55;65;-;-;-;-;120
"510025 Alta Floresta";40;38;44;21;15;35;193
"510060 Alto Taquari";-;2;-;-;-;-;2
"510140 Aripuanã";-;6;2;-;-;-;8
"510180 Barra do Garças";28;38;21;12;8;-;107
"510190 Brasnorte";5;6;2;-;-;3;16
"510250 Cáceres";89;65;166;72;38;23;453
"510260 Campinápolis";18;-;-;-;-;-;18
"510263 Campo Novo do Parecis";-;-;10;4;2;-;16
"510267 Campo Verde";23;16;20;16;13;18;106
"510268 Campos de Júlio";13;9;4;7;2;2;37
"510270 Canarana";1;-;21;4;-;-;26
"510305 Cláudia";7;13;9;1;-;1;31
"510320 Colíder";26;10;20;8;2;6;72
"510325 Colniza";-;1;2;1;-;-;4
"510337 Cotriguaçu";2;2;-;-;-;-;4
"510340 Cuiabá";261;343;267;206;133;119;1329
"510350 Diamantino";-;-;-;1;-;-;1
"510390 General Carneiro";4;4;5;1;-;-;14
"510410 Guarantã do Norte";-;-;-;9;-;-;9
"510420 Guiratinga";-;-;-;-;2;-;2
"510460 Itiquira";-;2;3;-;1;-;6
"510480 Jaciara";-;80;5;74;21;-;180
"510510 Juara";11;5;14;16;3;12;61
"510515 Juína";33;28;27;33;17;15;153
"510517 Juruena";1;12;6;4;-;-;23
"510525 Lucas do Rio Verde";-;30;46;60;-;-;136
"510558 Marcelândia";29;7;12;8;-;-;56
"510560 Matupá";1;5;5;1;-;-;12
"510562 Mirassol d'Oeste";20;30;29;19;-;-;98
"510590 Nobres";23;22;12;1;5;-;63
"510610 Nossa Senhora do Livramento";10;6;1;3;-;-;20
"510622 Nova Mutum";37;26;37;24;25;-;149
"510625 Nova Xavantina";2;12;14;5;8;11;52
"510628 Novo São Joaquim";-;10;1;-;3;2;16
"510629 Paranaíta";-;23;20;7;-;11;61
"510630 Paranatinga";16;8;44;20;8;-;96
"510637 Pedra Preta";6;10;21;9;-;-;46
"510642 Peixoto de Azevedo";48;51;30;5;-;30;164
"510650 Poconé";12;14;20;8;-;2;56
"510675 Pontes e Lacerda";54;27;12;2;2;-;97
"510680 Porto dos Gaúchos";9;9;-;1;-;-;19
"510700 Poxoréo";16;14;10;5;6;5;56
"510704 Primavera do Leste";-;1;1;13;7;15;37
"510706 Querência";19;35;52;15;11;-;132
"510760 Rondonópolis";188;215;207;219;243;156;1228
"510730 São José do Rio Claro";1;-;4;8;4;5;22
"510787 Sapezal";14;31;-;4;-;4;53
"510790 Sinop";90;131;89;83;43;43;479
"510792 Sorriso";35;42;49;11;8;8;153
"510794 Tabaporã";1;1;3;-;-;-;5
"510795 Tangará da Serra";86;88;66;61;40;62;403
"510800 Tapurah";10;9;3;-;-;-;22
"510805 Terra Nova do Norte";6;10;5;2;6;-;29
"510810 Tesouro";-;1;1;-;-;-;2
"510820 Torixoréu";-;1;-;1;-;-;2
"510840 Várzea Grande";233;523;318;457;315;180;2026
"520013 Acreúna";2;3;15;1;-;3;24
"520025 Águas Lindas de Goiás";77;55;40;24;21;15;232
"520030 Alexânia";10;9;8;2;3;2;34
"520050 Aloândia";-;2;5;-;-;-;7
"520080 Alvorada do Norte";6;1;1;4;1;2;15
"520110 Anápolis";95;140;70;81;57;22;465
"520140 Aparecida de Goiânia";410;625;453;341;221;188;2238
"520150 Aporé";-;-;2;-;-;-;2
"520160 Araçu";-;-;-;3;5;2;10
"520215 Araguapaz";1;3;1;-;-;-;5
"520250 Aruanã";-;-;-;1;-;-;1
"520320 Barro Alto";-;1;-;-;-;-;1
"520330 Bela Vista de Goiás";11;11;11;16;6;13;68
"520340 Bom Jardim de Goiás";-;-;2;-;-;-;2
"520350 Bom Jesus de Goiás";5;17;16;14;-;-;52
"520380 Britânia";1;7;6;-;-;-;14
"520390 Buriti Alegre";-;1;-;-;-;-;1
"520410 Cachoeira Alta";4;9;7;7;5;-;32
"520430 Caçu";9;9;5;6;2;-;31
"520440 Caiapônia";4;11;7;14;-;-;36
"520470 Campinorte";3;1;1;-;-;1;6
"520505 Castelândia";-;1;1;-;-;-;2
"520510 Catalão";9;87;72;44;43;42;297
"520520 Caturaí";1;4;-;-;-;-;5
"520545 Cezarina";1;-;-;-;-;-;1
"520547 Chapadão do Céu";-;15;7;-;7;-;29
"520551 Cocalzinho de Goiás";2;4;4;-;-;-;10
"520580 Corumbá de Goiás";-;-;2;1;1;-;4
"520590 Corumbaíba";-;-;-;-;1;-;1
"520620 Cristalina";2;1;20;15;5;-;43
"520640 Crixás";-;1;6;13;4;5;29
"520650 Cromínia";-;-;1;-;-;-;1
"520670 Damianópolis";-;-;1;-;-;-;1
"520680 Damolândia";5;7;1;2;-;-;15
"520830 Divinópolis de Goiás";1;-;-;-;-;-;1
"520740 Edéia";-;3;1;-;-;-;4
"520780 Firminópolis";4;3;6;3;-;-;16
"520800 Formosa";-;7;40;55;55;18;175
"520860 Goianésia";9;15;20;11;-;-;55
"520870 Goiânia";838;1121;935;1048;858;1056;5856
"520880 Goianira";3;-;-;-;1;2;6
"520890 Goiás";1;6;6;15;11;5;44
"520910 Goiatuba";2;2;40;30;25;6;105
"520970 Hidrolândia";-;13;17;25;25;2;82
"520995 Indiara";-;-;-;2;-;1;3
"521000 Inhumas";1;-;4;-;-;-;5
"521010 Ipameri";4;3;3;-;1;-;11
"521040 Itaberaí";34;22;14;13;3;-;86
"521060 Itaguaru";1;1;-;2;-;-;4
"521080 Itajá";-;-;-;1;1;-;2
"521090 Itapaci";1;12;17;12;5;5;52
"521120 Itapuranga";-;2;3;5;3;-;13
"521130 Itarumã";-;-;-;4;-;-;4
"521140 Itauçu";1;4;2;-;-;-;7
"521150 Itumbiara";59;86;145;251;124;137;802
"521180 Jaraguá";-;-;-;13;1;30;44
"521190 Jataí";58;90;66;-;9;12;235
"521210 Joviânia";1;-;3;-;-;-;4
"521220 Jussara";3;3;2;4;-;-;12
"521250 Luziânia";-;142;93;84;58;58;435
"521260 Mairipotaba";1;1;-;-;-;-;2
"521270 Mambaí";1;1;-;-;-;-;2
"521300 Maurilândia";-;-;-;-;1;-;1
"521308 Minaçu";-;15;17;60;6;8;106
"521310 Mineiros";3;4;-;44;-;-;51
"521375 Montividiu";4;-;-;-;-;-;4
"521380 Morrinhos";6;12;58;-;69;7;152
"521400 Mozarlândia";6;7;5;4;-;-;22
"521450 Nerópolis";-;65;72;43;27;7;214
"521460 Niquelândia";5;8;36;24;4;7;84
"521530 Orizona";-;8;6;7;10;-;31
"521580 Palmelo";-;-;-;2;-;-;2
"521630 Paranaiguara";2;10;11;6;1;7;37
"521640 Paraúna";-;-;7;4;1;-;12
"521710 Piracanjuba";5;6;4;6;1;2;24
"521720 Piranhas";1;2;2;-;-;-;5
"521730 Pirenópolis";-;13;7;3;1;-;24
"521740 Pires do Rio";13;18;18;3;3;-;55
"521760 Planaltina";7;36;26;13;11;3;96
"521770 Pontalina";2;12;6;8;2;-;30
"521800 Porangatu";61;91;84;58;26;-;320
"521830 Posse";4;23;10;8;-;-;45
"521850 Quirinópolis";18;38;43;31;25;18;173
"521860 Rialma";6;12;21;4;5;-;48
"521880 Rio Verde";55;144;214;196;70;54;733
"521890 Rubiataba";-;4;1;2;3;4;14
"521920 Santa Cruz de Goiás";-;-;1;-;-;-;1
"521930 Santa Helena de Goiás";44;43;47;45;98;38;315
"521970 Santa Terezinha de Goiás";-;-;-;1;-;-;1
"521975 Santo Antônio do Descoberto";17;14;7;8;3;3;52
"522010 São Luís de Montes Belos";-;-;35;64;49;43;191
"522020 São Miguel do Araguaia";4;3;11;1;3;1;23
"522040 São Simão";13;9;12;9;5;5;53
"522045 Senador Canedo";-;1;-;-;-;-;1
"522068 Simolândia";1;-;1;2;-;-;4
"522100 Taquaral de Goiás";-;-;-;-;1;-;1
"522140 Trindade";90;83;78;48;8;14;321
"522155 Turvelândia";2;-;5;5;3;-;15
"522185 Valparaíso de Goiás";41;27;10;7;10;8;103
"522200 Vianópolis";1;4;3;2;2;-;12
"530010 Brasília";1721;2124;1144;1285;764;803;7841
"Total";79225;76692;61081;50612;45874;52922;366406
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
