,codibge,nome_municipio,sigla_uf,Sim,Sivep,DiferençaPercentual
0,110001,Alta Floresta D'oeste,RO,59.0,48.0,22.92
1,110002,Ariquemes,RO,359.0,365.0,-1.64
2,110003,Cabixi,RO,11.0,2.0,450.0
3,110004,Cacoal,RO,209.0,140.0,49.29
4,110005,Cerejeiras,RO,48.0,38.0,26.32
5,110006,Colorado Do Oeste,RO,33.0,23.0,43.48
6,110007,Corumbiara,RO,11.0,14.0,-21.43
7,110008,Costa Marques,RO,32.0,24.0,33.33
8,110009,Espigão D'oeste,RO,54.0,64.0,-15.62
9,110010,Guajará-Mirim,RO,196.0,149.0,31.54
10,110011,Jaru,RO,151.0,161.0,-6.21
11,110012,Ji-Paraná,RO,445.0,475.0,-6.32
12,110013,Machadinho D'oeste,RO,80.0,34.0,135.29
13,110014,Nova Brasilândia D'oeste,RO,25.0,13.0,92.31
14,110015,Ouro Preto Do Oeste,RO,116.0,101.0,14.85
15,110018,Pimenta Bueno,RO,56.0,56.0,0.0
16,110020,Porto Velho,RO,2034.0,1780.0,14.27
17,110025,Presidente Médici,RO,59.0,34.0,73.53
18,110026,Rio Crespo,RO,10.0,6.0,66.67
19,110028,Rolim De Moura,RO,135.0,107.0,26.17
20,110029,Santa Luzia D'oeste,RO,9.0,9.0,0.0
21,110030,Vilhena,RO,221.0,176.0,25.57
22,110032,São Miguel Do Guaporé,RO,41.0,18.0,127.78
23,110033,Nova Mamoré,RO,58.0,54.0,7.41
24,110034,Alvorada D'oeste,RO,21.0,32.0,-34.38
25,110037,Alto Alegre Dos Parecis,RO,29.0,29.0,0.0
26,110040,Alto Paraíso,RO,37.0,35.0,5.71
27,110045,Buritis,RO,59.0,62.0,-4.84
28,110050,Novo Horizonte Do Oeste,RO,17.0,7.0,142.86
29,110060,Cacaulândia,RO,11.0,12.0,-8.33
30,110070,Campo Novo De Rondônia,RO,26.0,16.0,62.5
31,110080,Candeias Do Jamari,RO,75.0,59.0,27.12
32,110090,Castanheiras,RO,7.0,4.0,75.0
33,110092,Chupinguaia,RO,19.0,8.0,137.5
34,110094,Cujubim,RO,30.0,27.0,11.11
35,110100,Governador Jorge Teixeira,RO,14.0,6.0,133.33
36,110110,Itapuã Do Oeste,RO,19.0,7.0,171.43
37,110120,Ministro Andreazza,RO,13.0,9.0,44.44
38,110130,Mirante Da Serra,RO,11.0,6.0,83.33
39,110140,Monte Negro,RO,26.0,17.0,52.94
40,110143,Nova União,RO,12.0,3.0,300.0
41,110145,Parecis,RO,7.0,8.0,-12.5
42,110146,Pimenteiras Do Oeste,RO,13.0,6.0,116.67
43,110147,Primavera De Rondônia,RO,6.0,4.0,50.0
44,110148,São Felipe D'oeste,RO,9.0,4.0,125.0
45,110149,São Francisco Do Guaporé,RO,36.0,41.0,-12.2
46,110150,Seringueiras,RO,12.0,11.0,9.09
47,110155,Teixeirópolis,RO,7.0,3.0,133.33
48,110160,Theobroma,RO,23.0,9.0,155.56
49,110170,Urupá,RO,25.0,6.0,316.67
50,110175,Vale Do Anari,RO,20.0,8.0,150.0
51,110180,Vale Do Paraíso,RO,22.0,10.0,120.0
52,120001,Acrelândia,AC,21.0,22.0,-4.55
53,120005,Assis Brasil,AC,17.0,8.0,112.5
54,120010,Brasiléia,AC,55.0,12.0,358.33
55,120013,Bujari,AC,13.0,10.0,30.0
56,120017,Capixaba,AC,11.0,8.0,37.5
57,120020,Cruzeiro Do Sul,AC,165.0,94.0,75.53
58,120025,Epitaciolândia,AC,32.0,7.0,357.14
59,120030,Feijó,AC,39.0,9.0,333.33
60,120032,Jordão,AC,1.0,2.0,-50.0
61,120033,Mâncio Lima,AC,31.0,3.0,933.33
62,120034,Manoel Urbano,AC,14.0,11.0,27.27
63,120035,Marechal Thaumaturgo,AC,11.0,3.0,266.67
64,120038,Plácido De Castro,AC,17.0,17.0,0.0
65,120039,Porto Walter,AC,5.0,0.0,inf
66,120040,Rio Branco,AC,844.0,1009.0,-16.35
67,120042,Rodrigues Alves,AC,12.0,4.0,200.0
68,120043,Santa Rosa Do Purus,AC,3.0,5.0,-40.0
69,120045,Senador Guiomard,AC,35.0,33.0,6.06
70,120050,Sena Madureira,AC,60.0,34.0,76.47
71,120060,Tarauacá,AC,48.0,1.0,4700.0
72,120070,Xapuri,AC,28.0,12.0,133.33
73,120080,Porto Acre,AC,29.0,20.0,45.0
74,130002,Alvarães,AM,41.0,33.0,24.24
75,130006,Amaturá,AM,22.0,18.0,22.22
76,130008,Anamã,AM,9.0,9.0,0.0
77,130010,Anori,AM,35.0,39.0,-10.26
78,130014,Apuí,AM,22.0,27.0,-18.52
79,130020,Atalaia Do Norte,AM,12.0,13.0,-7.69
80,130030,Autazes,AM,86.0,85.0,1.18
81,130040,Barcelos,AM,55.0,57.0,-3.51
82,130050,Barreirinha,AM,59.0,61.0,-3.28
83,130060,Benjamin Constant,AM,85.0,93.0,-8.6
84,130063,Beruri,AM,29.0,29.0,0.0
85,130068,Boa Vista Do Ramos,AM,13.0,14.0,-7.14
86,130070,Boca Do Acre,AM,29.0,25.0,16.0
87,130080,Borba,AM,49.0,55.0,-10.91
88,130083,Caapiranga,AM,17.0,18.0,-5.56
89,130090,Canutama,AM,9.0,10.0,-10.0
90,130100,Carauari,AM,56.0,52.0,7.69
91,130110,Careiro,AM,76.0,82.0,-7.32
92,130115,Careiro Da Várzea,AM,27.0,21.0,28.57
93,130120,Coari,AM,209.0,209.0,0.0
94,130130,Codajás,AM,25.0,16.0,56.25
95,130140,Eirunepé,AM,34.0,31.0,9.68
96,130150,Envira,AM,9.0,11.0,-18.18
97,130160,Fonte Boa,AM,39.0,32.0,21.88
98,130165,Guajará,AM,23.0,24.0,-4.17
99,130170,Humaitá,AM,137.0,141.0,-2.84
100,130180,Ipixuna,AM,19.0,18.0,5.56
101,130185,Iranduba,AM,177.0,155.0,14.19
102,130190,Itacoatiara,AM,300.0,280.0,7.14
103,130195,Itamarati,AM,6.0,7.0,-14.29
104,130200,Itapiranga,AM,42.0,44.0,-4.55
105,130210,Japurá,AM,7.0,9.0,-22.22
106,130220,Juruá,AM,14.0,15.0,-6.67
107,130230,Jutaí,AM,32.0,29.0,10.34
108,130240,Lábrea,AM,83.0,76.0,9.21
109,130250,Manacapuru,AM,306.0,328.0,-6.71
110,130255,Manaquiri,AM,47.0,39.0,20.51
111,130260,Manaus,AM,8066.0,4621.0,74.55
112,130270,Manicoré,AM,85.0,82.0,3.66
113,130280,Maraã,AM,19.0,27.0,-29.63
114,130290,Maués,AM,118.0,109.0,8.26
115,130300,Nhamundá,AM,35.0,34.0,2.94
116,130310,Nova Olinda Do Norte,AM,69.0,70.0,-1.43
117,130320,Novo Airão,AM,25.0,26.0,-3.85
118,130330,Novo Aripuanã,AM,29.0,25.0,16.0
119,130340,Parintins,AM,391.0,296.0,32.09
120,130350,Pauini,AM,21.0,23.0,-8.7
121,130353,Presidente Figueiredo,AM,93.0,104.0,-10.58
122,130356,Rio Preto Da Eva,AM,69.0,74.0,-6.76
123,130360,Santa Isabel Do Rio Negro,AM,50.0,43.0,16.28
124,130370,Santo Antônio Do Içá,AM,52.0,50.0,4.0
125,130380,São Gabriel Da Cachoeira,AM,110.0,107.0,2.8
126,130390,São Paulo De Olivença,AM,62.0,65.0,-4.62
127,130395,São Sebastião Do Uatumã,AM,16.0,27.0,-40.74
128,130400,Silves,AM,30.0,26.0,15.38
129,130406,Tabatinga,AM,136.0,112.0,21.43
130,130410,Tapauá,AM,19.0,12.0,58.33
131,130420,Tefé,AM,214.0,211.0,1.42
132,130423,Tonantins,AM,35.0,23.0,52.17
133,130426,Uarini,AM,28.0,27.0,3.7
134,130430,Urucará,AM,49.0,53.0,-7.55
135,130440,Urucurituba,AM,32.0,43.0,-25.58
136,140002,Amajari,RR,22.0,17.0,29.41
137,140005,Alto Alegre,RR,30.0,27.0,11.11
138,140010,Boa Vista,RR,1072.0,879.0,21.96
139,140015,Bonfim,RR,28.0,20.0,40.0
140,140017,Cantá,RR,28.0,23.0,21.74
141,140020,Caracaraí,RR,49.0,30.0,63.33
142,140023,Caroebe,RR,18.0,14.0,28.57
143,140028,Iracema,RR,13.0,12.0,8.33
144,140030,Mucajaí,RR,32.0,30.0,6.67
145,140040,Normandia,RR,29.0,16.0,81.25
146,140045,Pacaraima,RR,39.0,30.0,30.0
147,140047,Rorainópolis,RR,57.0,37.0,54.05
148,140050,São João Da Baliza,RR,8.0,6.0,33.33
149,140060,São Luiz,RR,9.0,6.0,50.0
150,140070,Uiramutã,RR,13.0,8.0,62.5
151,150010,Abaetetuba,PA,228.0,160.0,42.5
152,150013,Abel Figueiredo,PA,13.0,11.0,18.18
153,150020,Acará,PA,38.0,32.0,18.75
154,150030,Afuá,PA,26.0,14.0,85.71
155,150034,Água Azul Do Norte,PA,11.0,12.0,-8.33
156,150040,Alenquer,PA,109.0,110.0,-0.91
157,150050,Almeirim,PA,64.0,37.0,72.97
158,150060,Altamira,PA,263.0,263.0,0.0
159,150070,Anajás,PA,28.0,16.0,75.0
160,150080,Ananindeua,PA,1101.0,749.0,47.0
161,150085,Anapu,PA,36.0,33.0,9.09
162,150090,Augusto Corrêa,PA,50.0,35.0,42.86
163,150095,Aurora Do Pará,PA,21.0,13.0,61.54
164,150100,Aveiro,PA,22.0,12.0,83.33
165,150110,Bagre,PA,15.0,14.0,7.14
166,150120,Baião,PA,22.0,20.0,10.0
167,150125,Bannach,PA,2.0,2.0,0.0
168,150130,Barcarena,PA,219.0,227.0,-3.52
169,150140,Belém,PA,3904.0,3156.0,23.7
170,150145,Belterra,PA,39.0,30.0,30.0
171,150150,Benevides,PA,101.0,110.0,-8.18
172,150157,Bom Jesus Do Tocantins,PA,22.0,24.0,-8.33
173,150160,Bonito,PA,10.0,8.0,25.0
174,150170,Bragança,PA,199.0,210.0,-5.24
175,150172,Brasil Novo,PA,33.0,32.0,3.12
176,150175,Brejo Grande Do Araguaia,PA,3.0,6.0,-50.0
177,150178,Breu Branco,PA,67.0,59.0,13.56
178,150180,Breves,PA,113.0,117.0,-3.42
179,150190,Bujaru,PA,33.0,36.0,-8.33
180,150195,Cachoeira Do Piriá,PA,9.0,7.0,28.57
181,150200,Cachoeira Do Arari,PA,18.0,22.0,-18.18
182,150210,Cametá,PA,200.0,226.0,-11.5
183,150215,Canaã Dos Carajás,PA,85.0,104.0,-18.27
184,150220,Capanema,PA,126.0,110.0,14.55
185,150230,Capitão Poço,PA,62.0,56.0,10.71
186,150240,Castanhal,PA,413.0,376.0,9.84
187,150250,Chaves,PA,5.0,5.0,0.0
188,150260,Colares,PA,17.0,18.0,-5.56
189,150270,Conceição Do Araguaia,PA,51.0,17.0,200.0
190,150275,Concórdia Do Pará,PA,17.0,19.0,-10.53
191,150276,Cumaru Do Norte,PA,12.0,6.0,100.0
192,150277,Curionópolis,PA,50.0,48.0,4.17
193,150280,Curralinho,PA,27.0,19.0,42.11
194,150285,Curuá,PA,16.0,17.0,-5.88
195,150290,Curuçá,PA,75.0,51.0,47.06
196,150293,Dom Eliseu,PA,46.0,29.0,58.62
197,150295,Eldorado Dos Carajás,PA,34.0,27.0,25.93
198,150300,Faro,PA,23.0,28.0,-17.86
199,150304,Floresta Do Araguaia,PA,13.0,12.0,8.33
200,150307,Garrafão Do Norte,PA,23.0,20.0,15.0
201,150309,Goianésia Do Pará,PA,32.0,31.0,3.23
202,150310,Gurupá,PA,17.0,9.0,88.89
203,150320,Igarapé-Açu,PA,66.0,47.0,40.43
204,150330,Igarapé-Miri,PA,86.0,62.0,38.71
205,150340,Inhangapi,PA,16.0,17.0,-5.88
206,150345,Ipixuna Do Pará,PA,31.0,37.0,-16.22
207,150350,Irituia,PA,26.0,25.0,4.0
208,150360,Itaituba,PA,293.0,275.0,6.55
209,150370,Itupiranga,PA,60.0,60.0,0.0
210,150375,Jacareacanga,PA,46.0,44.0,4.55
211,150380,Jacundá,PA,39.0,43.0,-9.3
212,150390,Juruti,PA,139.0,136.0,2.21
213,150400,Limoeiro Do Ajuru,PA,45.0,53.0,-15.09
214,150405,Mãe Do Rio,PA,57.0,57.0,0.0
215,150410,Magalhães Barata,PA,17.0,12.0,41.67
216,150420,Marabá,PA,377.0,366.0,3.01
217,150430,Maracanã,PA,46.0,29.0,58.62
218,150440,Marapanim,PA,42.0,34.0,23.53
219,150442,Marituba,PA,208.0,115.0,80.87
220,150445,Medicilândia,PA,36.0,31.0,16.13
221,150450,Melgaço,PA,15.0,11.0,36.36
222,150460,Mocajuba,PA,55.0,68.0,-19.12
223,150470,Moju,PA,68.0,47.0,44.68
224,150480,Monte Alegre,PA,167.0,149.0,12.08
225,150490,Muaná,PA,31.0,38.0,-18.42
226,150495,Nova Esperança Do Piriá,PA,14.0,11.0,27.27
227,150497,Nova Ipixuna,PA,17.0,17.0,0.0
228,150500,Nova Timboteua,PA,21.0,13.0,61.54
229,150503,Novo Progresso,PA,57.0,56.0,1.79
230,150506,Novo Repartimento,PA,80.0,83.0,-3.61
231,150510,Óbidos,PA,116.0,117.0,-0.85
232,150520,Oeiras Do Pará,PA,39.0,35.0,11.43
233,150530,Oriximiná,PA,174.0,153.0,13.73
234,150540,Ourém,PA,17.0,8.0,112.5
235,150543,Ourilândia Do Norte,PA,31.0,21.0,47.62
236,150548,Pacajá,PA,36.0,36.0,0.0
237,150549,Palestina Do Pará,PA,6.0,7.0,-14.29
238,150550,Paragominas,PA,179.0,175.0,2.29
239,150553,Parauapebas,PA,331.0,360.0,-8.06
240,150555,Pau D'arco,PA,11.0,1.0,1000.0
241,150560,Peixe-Boi,PA,6.0,6.0,0.0
242,150563,Piçarra,PA,10.0,6.0,66.67
243,150565,Placas,PA,27.0,26.0,3.85
244,150570,Ponta De Pedras,PA,42.0,30.0,40.0
245,150580,Portel,PA,84.0,55.0,52.73
246,150590,Porto De Moz,PA,27.0,27.0,0.0
247,150600,Prainha,PA,72.0,70.0,2.86
248,150610,Primavera,PA,22.0,19.0,15.79
249,150611,Quatipuru,PA,23.0,14.0,64.29
250,150613,Redenção,PA,179.0,173.0,3.47
251,150616,Rio Maria,PA,35.0,29.0,20.69
252,150618,Rondon Do Pará,PA,70.0,77.0,-9.09
253,150619,Rurópolis,PA,59.0,59.0,0.0
254,150620,Salinópolis,PA,112.0,121.0,-7.44
255,150630,Salvaterra,PA,27.0,34.0,-20.59
256,150635,Santa Bárbara Do Pará,PA,33.0,25.0,32.0
257,150640,Santa Cruz Do Arari,PA,12.0,1.0,1100.0
258,150650,Santa Isabel Do Pará,PA,92.0,86.0,6.98
259,150655,Santa Luzia Do Pará,PA,27.0,20.0,35.0
260,150658,Santa Maria Das Barreiras,PA,23.0,5.0,360.0
261,150660,Santa Maria Do Pará,PA,27.0,23.0,17.39
262,150670,Santana Do Araguaia,PA,36.0,13.0,176.92
263,150680,Santarém,PA,887.0,851.0,4.23
264,150690,Santarém Novo,PA,8.0,4.0,100.0
265,150700,Santo Antônio Do Tauá,PA,59.0,50.0,18.0
266,150710,São Caetano De Odivelas,PA,36.0,27.0,33.33
267,150715,São Domingos Do Araguaia,PA,39.0,41.0,-4.88
268,150720,São Domingos Do Capim,PA,31.0,21.0,47.62
269,150730,São Félix Do Xingu,PA,49.0,23.0,113.04
270,150740,São Francisco Do Pará,PA,29.0,23.0,26.09
271,150745,São Geraldo Do Araguaia,PA,42.0,33.0,27.27
272,150746,São João Da Ponta,PA,8.0,9.0,-11.11
273,150747,São João De Pirabas,PA,45.0,39.0,15.38
274,150750,São João Do Araguaia,PA,13.0,9.0,44.44
275,150760,São Miguel Do Guamá,PA,65.0,53.0,22.64
276,150770,São Sebastião Da Boa Vista,PA,24.0,18.0,33.33
277,150775,Sapucaia,PA,12.0,2.0,500.0
278,150780,Senador José Porfírio,PA,18.0,16.0,12.5
279,150790,Soure,PA,28.0,9.0,211.11
280,150795,Tailândia,PA,93.0,110.0,-15.45
281,150796,Terra Alta,PA,21.0,16.0,31.25
282,150797,Terra Santa,PA,51.0,57.0,-10.53
283,150800,Tomé-Açu,PA,57.0,52.0,9.62
284,150803,Tracuateua,PA,29.0,35.0,-17.14
285,150805,Trairão,PA,20.0,19.0,5.26
286,150808,Tucumã,PA,69.0,75.0,-8.0
287,150810,Tucuruí,PA,220.0,220.0,0.0
288,150812,Ulianópolis,PA,29.0,25.0,16.0
289,150815,Uruará,PA,74.0,70.0,5.71
290,150820,Vigia,PA,76.0,84.0,-9.52
291,150830,Viseu,PA,48.0,24.0,100.0
292,150835,Vitória Do Xingu,PA,38.0,32.0,18.75
293,150840,Xinguara,PA,83.0,42.0,97.62
294,160005,Serra Do Navio,AP,8.0,3.0,166.67
295,160010,Amapá,AP,11.0,6.0,83.33
296,160015,Pedra Branca Do Amapari,AP,8.0,12.0,-33.33
297,160020,Calçoene,AP,6.0,1.0,500.0
298,160021,Cutias,AP,6.0,1.0,500.0
299,160023,Ferreira Gomes,AP,7.0,10.0,-30.0
300,160025,Itaubal,AP,3.0,1.0,200.0
301,160027,Laranjal Do Jari,AP,92.0,78.0,17.95
302,160030,Macapá,AP,1235.0,760.0,62.5
303,160040,Mazagão,AP,27.0,20.0,35.0
304,160050,Oiapoque,AP,40.0,42.0,-4.76
305,160053,Porto Grande,AP,20.0,12.0,66.67
306,160055,Pracuúba,AP,8.0,4.0,100.0
307,160060,Santana,AP,223.0,107.0,108.41
308,160070,Tartarugalzinho,AP,12.0,6.0,100.0
309,160080,Vitória Do Jari,AP,24.0,17.0,41.18
310,170025,Abreulândia,TO,6.0,4.0,50.0
311,170030,Aguiarnópolis,TO,11.0,10.0,10.0
312,170035,Aliança Do Tocantins,TO,18.0,15.0,20.0
313,170040,Almas,TO,4.0,4.0,0.0
314,170070,Alvorada,TO,18.0,19.0,-5.26
315,170100,Ananás,TO,19.0,20.0,-5.0
316,170105,Angico,TO,5.0,4.0,25.0
317,170110,Aparecida Do Rio Negro,TO,6.0,5.0,20.0
318,170130,Aragominas,TO,8.0,4.0,100.0
319,170190,Araguacema,TO,11.0,8.0,37.5
320,170200,Araguaçu,TO,15.0,12.0,25.0
321,170210,Araguaína,TO,366.0,377.0,-2.92
322,170215,Araguanã,TO,12.0,8.0,50.0
323,170220,Araguatins,TO,50.0,50.0,0.0
324,170230,Arapoema,TO,11.0,10.0,10.0
325,170240,Arraias,TO,9.0,6.0,50.0
326,170255,Augustinópolis,TO,25.0,26.0,-3.85
327,170290,Axixá Do Tocantins,TO,22.0,15.0,46.67
328,170300,Babaçulândia,TO,7.0,4.0,75.0
329,170305,Bandeirantes Do Tocantins,TO,3.0,2.0,50.0
330,170307,Barra Do Ouro,TO,6.0,4.0,50.0
331,170310,Barrolândia,TO,18.0,13.0,38.46
332,170320,Bernardo Sayão,TO,6.0,6.0,0.0
333,170330,Bom Jesus Do Tocantins,TO,2.0,2.0,0.0
334,170360,Brasilândia Do Tocantins,TO,4.0,0.0,inf
335,170370,Brejinho De Nazaré,TO,7.0,8.0,-12.5
336,170380,Buriti Do Tocantins,TO,11.0,11.0,0.0
337,170382,Cachoeirinha,TO,3.0,1.0,200.0
338,170384,Campos Lindos,TO,4.0,2.0,100.0
339,170386,Cariri Do Tocantins,TO,8.0,10.0,-20.0
340,170388,Carmolândia,TO,3.0,1.0,200.0
341,170389,Carrasco Bonito,TO,5.0,6.0,-16.67
342,170390,Caseara,TO,9.0,8.0,12.5
343,170410,Centenário,TO,6.0,6.0,0.0
344,170460,Chapada De Areia,TO,3.0,4.0,-25.0
345,170510,Chapada Da Natividade,TO,1.0,2.0,-50.0
346,170550,Colinas Do Tocantins,TO,89.0,80.0,11.25
347,170555,Combinado,TO,8.0,7.0,14.29
348,170560,Conceição Do Tocantins,TO,10.0,10.0,0.0
349,170600,Couto Magalhães,TO,4.0,5.0,-20.0
350,170610,Cristalândia,TO,10.0,8.0,25.0
351,170650,Darcinópolis,TO,7.0,5.0,40.0
352,170700,Dianópolis,TO,24.0,19.0,26.32
353,170710,Divinópolis Do Tocantins,TO,6.0,3.0,100.0
354,170720,Dois Irmãos Do Tocantins,TO,19.0,14.0,35.71
355,170730,Dueré,TO,8.0,6.0,33.33
356,170740,Esperantina,TO,15.0,13.0,15.38
357,170755,Fátima,TO,7.0,6.0,16.67
358,170765,Figueirópolis,TO,7.0,10.0,-30.0
359,170770,Filadélfia,TO,7.0,6.0,16.67
360,170820,Formoso Do Araguaia,TO,57.0,43.0,32.56
361,170825,Fortaleza Do Tabocão,TO,7.0,6.0,16.67
362,170830,Goianorte,TO,6.0,5.0,20.0
363,170900,Goiatins,TO,13.0,9.0,44.44
364,170930,Guaraí,TO,61.0,54.0,12.96
365,170950,Gurupi,TO,184.0,182.0,1.1
366,170980,Ipueiras,TO,4.0,3.0,33.33
367,171050,Itacajá,TO,10.0,11.0,-9.09
368,171070,Itaguatins,TO,15.0,10.0,50.0
369,171090,Itapiratins,TO,4.0,2.0,100.0
370,171110,Itaporã Do Tocantins,TO,6.0,4.0,50.0
371,171150,Jaú Do Tocantins,TO,8.0,7.0,14.29
372,171180,Juarina,TO,2.0,2.0,0.0
373,171190,Lagoa Da Confusão,TO,18.0,13.0,38.46
374,171195,Lagoa Do Tocantins,TO,6.0,5.0,20.0
375,171200,Lajeado,TO,3.0,4.0,-25.0
376,171215,Lavandeira,TO,1.0,1.0,0.0
377,171240,Lizarda,TO,3.0,3.0,0.0
378,171245,Luzinópolis,TO,3.0,2.0,50.0
379,171250,Marianópolis Do Tocantins,TO,8.0,5.0,60.0
380,171280,Maurilândia Do Tocantins,TO,2.0,2.0,0.0
381,171320,Miracema Do Tocantins,TO,42.0,39.0,7.69
382,171330,Miranorte,TO,52.0,42.0,23.81
383,171360,Monte Do Carmo,TO,6.0,5.0,20.0
384,171370,Monte Santo Do Tocantins,TO,6.0,5.0,20.0
385,171380,Palmeiras Do Tocantins,TO,5.0,5.0,0.0
386,171395,Muricilândia,TO,3.0,1.0,200.0
387,171420,Natividade,TO,13.0,10.0,30.0
388,171430,Nazaré,TO,6.0,5.0,20.0
389,171488,Nova Olinda,TO,31.0,29.0,6.9
390,171500,Nova Rosalândia,TO,10.0,7.0,42.86
391,171510,Novo Acordo,TO,3.0,3.0,0.0
392,171515,Novo Alegre,TO,3.0,4.0,-25.0
393,171550,Oliveira De Fátima,TO,1.0,0.0,inf
394,171570,Palmeirante,TO,9.0,5.0,80.0
395,171575,Palmeirópolis,TO,24.0,16.0,50.0
396,171610,Paraíso Do Tocantins,TO,137.0,116.0,18.1
397,171620,Paranã,TO,6.0,7.0,-14.29
398,171630,Pau D'arco,TO,7.0,8.0,-12.5
399,171650,Pedro Afonso,TO,20.0,14.0,42.86
400,171660,Peixe,TO,17.0,10.0,70.0
401,171665,Pequizeiro,TO,8.0,8.0,0.0
402,171670,Colméia,TO,17.0,17.0,0.0
403,171700,Pindorama Do Tocantins,TO,1.0,1.0,0.0
404,171720,Piraquê,TO,1.0,1.0,0.0
405,171750,Pium,TO,7.0,5.0,40.0
406,171780,Ponte Alta Do Bom Jesus,TO,5.0,4.0,25.0
407,171790,Ponte Alta Do Tocantins,TO,9.0,7.0,28.57
408,171800,Porto Alegre Do Tocantins,TO,2.0,2.0,0.0
409,171820,Porto Nacional,TO,165.0,137.0,20.44
410,171830,Praia Norte,TO,12.0,8.0,50.0
411,171840,Presidente Kennedy,TO,5.0,4.0,25.0
412,171845,Pugmil,TO,1.0,1.0,0.0
413,171850,Recursolândia,TO,4.0,7.0,-42.86
414,171855,Riachinho,TO,4.0,4.0,0.0
415,171865,Rio Da Conceição,TO,2.0,2.0,0.0
416,171870,Rio Dos Bois,TO,5.0,2.0,150.0
417,171875,Rio Sono,TO,2.0,3.0,-33.33
418,171880,Sampaio,TO,5.0,6.0,-16.67
419,171884,Sandolândia,TO,7.0,7.0,0.0
420,171886,Santa Fé Do Araguaia,TO,11.0,8.0,37.5
421,171888,Santa Maria Do Tocantins,TO,2.0,2.0,0.0
422,171889,Santa Rita Do Tocantins,TO,1.0,1.0,0.0
423,171890,Santa Rosa Do Tocantins,TO,3.0,4.0,-25.0
424,171900,Santa Tereza Do Tocantins,TO,6.0,4.0,50.0
425,172000,Santa Terezinha Do Tocantins,TO,3.0,4.0,-25.0
426,172010,São Bento Do Tocantins,TO,6.0,5.0,20.0
427,172015,São Félix Do Tocantins,TO,1.0,1.0,0.0
428,172020,São Miguel Do Tocantins,TO,12.0,11.0,9.09
429,172025,São Salvador Do Tocantins,TO,1.0,1.0,0.0
430,172030,São Sebastião Do Tocantins,TO,5.0,4.0,25.0
431,172049,São Valério,TO,10.0,4.0,150.0
432,172065,Silvanópolis,TO,18.0,22.0,-18.18
433,172080,Sítio Novo Do Tocantins,TO,9.0,8.0,12.5
434,172090,Taguatinga,TO,11.0,12.0,-8.33
435,172093,Taipas Do Tocantins,TO,1.0,2.0,-50.0
436,172097,Talismã,TO,2.0,1.0,100.0
437,172100,Palmas,TO,511.0,490.0,4.29
438,172110,Tocantínia,TO,11.0,10.0,10.0
439,172120,Tocantinópolis,TO,39.0,35.0,11.43
440,172125,Tupirama,TO,2.0,2.0,0.0
441,172130,Tupiratins,TO,1.0,1.0,0.0
442,172208,Wanderlândia,TO,9.0,11.0,-18.18
443,172210,Xambioá,TO,25.0,20.0,25.0
444,210005,Açailândia,MA,245.0,156.0,57.05
445,210010,Afonso Cunha,MA,2.0,0.0,inf
446,210015,Água Doce Do Maranhão,MA,10.0,2.0,400.0
447,210020,Alcântara,MA,11.0,9.0,22.22
448,210030,Aldeias Altas,MA,27.0,11.0,145.45
449,210040,Altamira Do Maranhão,MA,8.0,2.0,300.0
450,210043,Alto Alegre Do Maranhão,MA,44.0,7.0,528.57
451,210047,Alto Alegre Do Pindaré,MA,44.0,15.0,193.33
452,210050,Alto Parnaíba,MA,6.0,5.0,20.0
453,210055,Amapá Do Maranhão,MA,4.0,3.0,33.33
454,210060,Amarante Do Maranhão,MA,53.0,35.0,51.43
455,210070,Anajatuba,MA,16.0,8.0,100.0
456,210080,Anapurus,MA,11.0,8.0,37.5
457,210083,Apicum-Açu,MA,5.0,3.0,66.67
458,210087,Araguanã,MA,9.0,5.0,80.0
459,210090,Araioses,MA,24.0,5.0,380.0
460,210095,Arame,MA,31.0,10.0,210.0
461,210100,Arari,MA,26.0,11.0,136.36
462,210110,Axixá,MA,3.0,2.0,50.0
463,210120,Bacabal,MA,216.0,99.0,118.18
464,210125,Bacabeira,MA,9.0,7.0,28.57
465,210130,Bacuri,MA,15.0,3.0,400.0
466,210135,Bacurituba,MA,2.0,0.0,inf
467,210140,Balsas,MA,148.0,120.0,23.33
468,210150,Barão De Grajaú,MA,16.0,16.0,0.0
469,210160,Barra Do Corda,MA,107.0,27.0,296.3
470,210170,Barreirinhas,MA,50.0,25.0,100.0
471,210173,Belágua,MA,3.0,0.0,inf
472,210177,Bela Vista Do Maranhão,MA,17.0,9.0,88.89
473,210180,Benedito Leite,MA,7.0,7.0,0.0
474,210190,Bequimão,MA,21.0,18.0,16.67
475,210193,Bernardo Do Mearim,MA,10.0,7.0,42.86
476,210197,Boa Vista Do Gurupi,MA,5.0,3.0,66.67
477,210200,Bom Jardim,MA,54.0,27.0,100.0
478,210203,Bom Jesus Das Selvas,MA,61.0,23.0,165.22
479,210207,Bom Lugar,MA,13.0,4.0,225.0
480,210210,Brejo,MA,34.0,31.0,9.68
481,210215,Brejo De Areia,MA,11.0,1.0,1000.0
482,210220,Buriti,MA,18.0,4.0,350.0
483,210230,Buriti Bravo,MA,28.0,4.0,600.0
484,210232,Buriticupu,MA,80.0,33.0,142.42
485,210235,Buritirana,MA,31.0,23.0,34.78
486,210237,Cachoeira Grande,MA,5.0,3.0,66.67
487,210240,Cajapió,MA,6.0,6.0,0.0
488,210250,Cajari,MA,7.0,1.0,600.0
