 Procedimentos hospitalares do SUS - por local de internação - Brasil
InternaçõesValor totalDias permanênciaÓbitos por Município
Procedimento: 0303010223 TRATAMENTO DE INFECÇÃO PELO CORONAVIRUS – COVID 19
Período:Abr-Dez/2020
"Município";"Internações";"Valor_total";"Dias_permanência";"Óbitos"
"260010 Afogados da Ingazeira";212;318189,75;1441;74
"260020 Afrânio";16;24000,00;35;-
"260030 Agrestina";114;177988,49;629;3
"260040 Água Preta";84;126000,00;237;8
"260050 Águas Belas";2;3048,00;12;-
"260060 Alagoinha";13;19648,18;97;-
"260070 Aliança";5;7500,00;21;1
"260080 Altinho";27;40508,00;174;3
"260090 Amaraji";31;46500,00;157;-
"260100 Angelim";4;6000,00;46;-
"260110 Araripina";607;3541063,52;6326;121
"260120 Arcoverde";626;2500282,74;4795;130
"260130 Barra de Guabiraba";16;24456,00;114;-
"260140 Barreiros";119;178960,99;719;31
"260160 Belém do São Francisco";5;7516,00;16;-
"260170 Belo Jardim";46;70864,00;355;3
"260180 Betânia";15;22500,00;68;-
"260190 Bezerros";436;1509955,25;2490;41
"260200 Bodocó";35;52500,00;255;1
"260210 Bom Conselho";59;88500,00;423;3
"260220 Bom Jardim";20;30104,00;120;1
"260230 Bonito";56;84040,00;488;2
"260240 Brejão";7;10500,00;40;-
"260250 Brejinho";2;3080,00;10;-
"260260 Brejo da Madre de Deus";31;46548,00;157;-
"260280 Buíque";20;30000,00;116;-
"260290 Cabo de Santo Agostinho";865;7206726,49;7379;415
"260300 Cabrobó";16;24000,00;76;1
"260320 Caetés";171;257532,39;1148;1
"260330 Calçado";20;30032,00;139;-
"260350 Camocim de São Félix";21;31500,00;75;2
"260360 Camutanga";15;22500,00;76;-
"260370 Canhotinho";62;93000,00;366;-
"260380 Capoeiras";41;62844,00;263;1
"260390 Carnaíba";32;48864,00;121;1
"260400 Carpina";52;78000,00;309;4
"260410 Caruaru";2497;12982513,89;27901;680
"260415 Casinhas";7;10580,00;19;-
"260430 Cedro";39;58560,71;222;2
"260450 Chã Grande";45;67500,00;203;2
"260480 Cortês";40;60008,00;239;4
"260500 Cupira";44;66000,00;321;3
"260510 Custódia";14;21120,00;103;-
"260515 Dormentes";21;31748,00;111;-
"260520 Escada";64;96872,00;375;11
"260530 Exu";15;22500,00;61;3
"260540 Feira Nova";112;168000,00;871;10
"260545 Fernando de Noronha";4;6000,00;11;-
"260560 Flores";8;12272,00;43;-
"260570 Floresta";35;52548,00;132;-
"260580 Frei Miguelinho";20;30000,00;70;-
"260590 Gameleira";11;16500,00;16;1
"260600 Garanhuns";1090;3061428,00;6234;220
"260610 Glória do Goitá";38;57000,00;227;-
"260620 Goiana";301;477706,69;1963;52
"260630 Granito";2;3000,00;9;-
"260640 Gravatá";84;126361,08;608;8
"260650 Iati";1;1500,00;3;-
"260660 Ibimirim";4;6000,00;19;-
"260670 Ibirajuba";6;9000,00;31;-
"260680 Igarassu";41;61500,00;152;-
"260690 Iguaracy";3;4572,00;10;-
"260700 Inajá";2;3000,00;7;-
"260720 Ipojuca";162;243000,00;958;2
"260730 Ipubi";7;10508,00;42;-
"260750 Itaíba";12;18000,00;39;-
"260765 Itambé";41;61500,00;143;4
"260775 Itapissuma";7;10500,00;44;-
"260790 Jaboatão dos Guararapes";733;5981604,70;6516;218
"260795 Jaqueira";1;1500,00;3;-
"260800 Jataúba";42;63056,00;270;1
"260810 João Alfredo";31;47172,00;148;3
"260825 Jucati";6;9000,00;26;-
"260830 Jupi";17;25500,00;59;-
"260840 Jurema";12;18408,00;51;2
"260850 Lagoa de Itaenga";1;1500,00;6;-
"260845 Lagoa do Carro";23;34500,00;137;-
"260870 Lagoa dos Gatos";4;6000,00;17;-
"260875 Lagoa Grande";23;34740,00;91;2
"260880 Lajedo";110;168104,00;813;8
"260890 Limoeiro";435;721423,47;4169;161
"260910 Machados";2;3032,00;8;-
"260915 Manari";15;22524,00;75;-
"261430 Moreilândia";8;12000,00;48;-
"260940 Moreno";183;1383724,81;2133;57
"260960 Olinda";1069;6704957,36;8246;348
"260970 Orobó";11;16500,00;75;2
"260980 Orocó";5;7500,00;34;1
"260990 Ouricuri";300;471571,54;1638;67
"261000 Palmares";735;3069999,17;6069;205
"261010 Palmeirina";8;12312,00;56;-
"261030 Paranatama";22;33000,00;100;-
"261040 Parnamirim";34;51096,00;165;2
"261050 Passira";44;66000,00;186;2
"261060 Paudalho";63;94500,00;485;1
"261070 Paulista";450;2934170,11;4778;165
"261080 Pedra";5;7500,00;38;-
"261090 Pesqueira";60;93761,00;488;7
"261100 Petrolândia";28;42456,00;186;2
"261110 Petrolina";607;1857236,09;4463;152
"261130 Pombos";63;94500,00;167;6
"261150 Quipapá";17;25500,00;111;-
"261160 Recife";13304;67721842,25;113336;3049
"261180 Ribeirão";10;15056,00;34;2
"261200 Sairé";7;10680,00;23;-
"261220 Salgueiro";489;1260492,25;3177;67
"261230 Saloá";43;64500,00;146;-
"261240 Sanharó";5;7516,00;7;-
"261247 Santa Cruz da Baixa Verde";2;3000,00;9;-
"261250 Santa Cruz do Capibaribe";135;203141,68;630;9
"261255 Santa Filomena";10;15000,00;42;-
"261260 Santa Maria da Boa Vista";10;15368,00;55;1
"261300 São Bento do Una";139;209498,34;1066;9
"261310 São Caitano";29;43648,18;146;-
"261320 São João";9;13804,00;46;-
"261330 São Joaquim do Monte";49;74428,00;167;-
"261360 São José do Egito";61;94020,00;317;4
"261370 São Lourenço da Mata";72;108000,00;331;4
"261390 Serra Talhada";720;2960258,30;5101;192
"261400 Serrita";14;21896,00;113;-
"261410 Sertânia";47;71852,00;236;1
"261420 Sirinhaém";47;71868,00;233;4
"261440 Solidão";9;13508,00;41;-
"261450 Surubim";91;136500,00;636;4
"261460 Tabira";52;80968,00;449;-
"261485 Tamandaré";9;13892,00;49;-
"261500 Taquaritinga do Norte";36;54288,00;223;2
"261510 Terezinha";1;1500,00;2;-
"261520 Terra Nova";19;28580,00;83;-
"261540 Toritama";111;170004,60;404;11
"261560 Trindade";17;25500,00;75;-
"261570 Triunfo";21;31500,00;78;-
"261580 Tupanatinga";11;16500,00;113;-
"261590 Tuparetama";7;10876,00;49;-
"261600 Venturosa";4;6168,00;21;1
"261610 Verdejante";14;21000,00;65;-
"261620 Vertentes";58;87000,00;267;6
"261630 Vicência";68;102368,00;211;9
"261640 Vitória de Santo Antão";289;434094,04;2301;35
"270030 Arapiraca";1356;5208384,92;11877;380
"270140 Campo Alegre";236;354000,00;1683;11
"270170 Capela";26;39920,00;117;-
"270230 Coruripe";143;1009252,63;1475;49
"270430 Maceió";2514;14872657,65;23366;793
"270450 Maragogi";28;42000,00;131;-
"270470 Marechal Deodoro";43;64500,00;341;-
"270510 Matriz de Camaragibe";62;93000,00;298;4
"270630 Palmeira dos Índios";117;395797,42;949;36
"270640 Pão de Açúcar";52;78000,00;259;-
"270670 Penedo";37;92300,00;150;2
"270690 Pilar";1;1500,00;2;-
"270730 Porto Calvo";61;91667,98;344;1
"270760 Quebrangulo";62;93000,00;299;-
"270770 Rio Largo";88;133401,25;605;17
"270800 Santana do Ipanema";173;378963,38;1362;41
"270830 São José da Laje";53;79500,00;253;1
"270860 São Miguel dos Campos";138;645588,20;1340;20
"270915 Teotônio Vilela";101;151500,00;624;1
"270930 União dos Palmares";47;76356,62;289;1
"280030 Aracaju";2339;11933661,89;24367;479
"280130 Capela";10;15040,00;40;2
"280210 Estância";360;1603323,71;2941;155
"280290 Itabaiana";335;532907,09;1505;46
"280350 Lagarto";570;4218555,11;6655;162
"280450 Nossa Senhora da Glória";52;78000,00;219;12
"280480 Nossa Senhora do Socorro";224;337269,99;891;41
"280570 Propriá";173;263196,08;961;39
"280670 São Cristóvão";17;25901,20;101;1
"290070 Alagoinhas";107;167576,41;468;22
"290080 Alcobaça";14;21216,00;48;3
"290100 Amargosa";21;31861,00;62;3
"290115 América Dourada";3;4548,00;7;-
"290200 Aracatu";1;1516,00;2;-
"290240 Aurelino Leal";53;79500,00;179;1
"290270 Barra";45;67756,06;136;1
"290280 Barra da Estiva";34;52000,60;135;5
"290290 Barra do Choça";26;39440,00;54;-
"290300 Barra do Mendes";6;9000,00;25;-
"290320 Barreiras";605;2310681,89;3755;62
"290323 Barro Alto";8;12000,00;33;-
"290327 Barrocas";6;9040,00;20;-
"290340 Belmonte";22;34020,42;162;-
"290390 Bom Jesus da Lapa";67;100500,00;537;1
"290405 Bonito";4;6000,00;23;-
"290410 Boquira";4;6000,00;9;1
"290490 Cachoeira";32;48536,00;63;7
"290520 Caetité";26;39000,00;104;-
"290530 Cafarnaum";15;22948,00;69;4
"290550 Caldeirão Grande";17;25500,00;75;1
"290560 Camacan";255;382500,00;1294;35
"290570 Camaçari";306;1922711,89;1870;52
"290590 Campo Alegre de Lourdes";32;48248,00;148;-
"290600 Campo Formoso";182;278269,12;795;18
"290610 Canápolis";3;4500,00;9;-
"290620 Canarana";11;16740,00;54;1
"290650 Candeias";117;177607,32;192;8
"290660 Candiba";1;1524,00;3;-
"290690 Caravelas";12;18256,00;58;2
"290720 Casa Nova";16;24264,00;110;1
"290750 Catu";17;25508,00;13;1
"290755 Caturama";4;6000,00;9;-
"290760 Central";2;3000,00;4;1
"290810 Cocos";9;13716,00;27;-
"290830 Conceição do Almeida";45;67524,00;99;2
"290840 Conceição do Coité";10;15144,00;25;-
"290850 Conceição do Jacuípe";30;45192,00;136;3
"290870 Condeúba";2;3000,00;6;-
"290890 Coração de Maria";4;6000,00;12;-
"290910 Coribe";6;9000,00;21;-
"290930 Correntina";21;32004,00;63;-
"291005 Dias d'Ávila";45;67502,00;93;7
"291030 Elísio Medrado";2;3000,00;1;1
"291040 Encruzilhada";27;40900,00;97;3
"291060 Esplanada";3;4652,00;23;-
"291072 Eunápolis";343;1771352,46;1859;51
"291080 Feira de Santana";328;1716533,02;3452;102
"291085 Filadélfia";50;75000,00;140;3
"291120 Gandu";41;61852,18;89;5
"291130 Gentio do Ouro";1;1500,00;4;-
"291170 Guanambi";20;43431,32;153;4
"291180 Guaratinga";34;51376,00;132;1
"291270 Ibirapitanga";30;45928,12;159;-
"291280 Ibirapuã";47;71348,00;236;1
"291290 Ibirataia";30;45288,00;73;2
"291300 Ibitiara";1;1508,00;1;-
"291320 Ibotirama";45;68808,18;156;4
"291345 Igrapiúna";2;3000,00;10;-
"291350 Iguaí";107;160788,00;313;1
"291360 Ilhéus";928;9582991,25;10901;266
"291390 Ipiaú";38;63757,73;351;7
"291410 Ipupiara";5;7540,12;33;1
"291460 Irecê";35;484448,18;339;17
"291465 Itabela";82;123076,06;241;6
"291470 Itaberaba";142;1683480,24;1495;16
"291480 Itabuna";701;2735525,76;6222;170
"291540 Itaju do Colônia";9;13500,00;49;-
"291550 Itajuípe";36;54000,00;109;-
"291560 Itamaraju";122;183776,00;487;14
"291580 Itambé";32;48560,00;72;2
"291600 Itanhém";30;45172,18;129;4
"291610 Itaparica";46;69656,24;107;3
"291680 Itarantim";4;6048,00;10;1
"291685 Itatim";7;10500,00;8;1
"291690 Itiruçu";24;36032,00;79;2
"291700 Itiúba";17;25500,00;21;-
"291710 Itororó";74;111000,00;221;-
"291740 Jacaraci";4;6000,00;11;1
"291750 Jacobina";115;188125,34;722;19
"291770 Jaguarari";2;3000,00;4;-
"291800 Jequié";868;4725159,18;7089;181
"291830 Jitaúna";19;28500,00;106;2
"291840 Juazeiro";103;501055,99;923;21
"291860 Jussiape";1;1508,00;1;-
"291915 Lapão";22;33352,00;82;1
"291920 Lauro de Freitas";123;184500,00;1139;6
"291940 Licínio de Almeida";1;1500,00;1;-
"291960 Macajuba";3;4500,00;9;-
"291970 Macarani";91;139164,00;396;7
"292000 Maiquinique";7;10612,00;25;-
"292010 Mairi";10;15108,00;33;1
"292020 Malhada";10;15016,00;23;2
"292050 Maracás";61;91932,00;213;6
"292100 Mata de São João";1;1500,00;7;-
"292120 Miguel Calmon";16;24173,95;66;1
"292130 Milagres";3;4500,00;8;1
"292190 Mucugê";11;16500,00;45;-
"292200 Mucuri";68;102352,84;307;5
"292205 Mulungu do Morro";2;3048,00;6;-
"292240 Mutuípe";17;25500,00;29;-
"292250 Nazaré";44;66064,00;95;3
"292270 Nova Canaã";17;25500,00;52;-
"292273 Nova Fátima";3;4540,00;8;-
"292300 Nova Viçosa";48;72760,00;141;6
"292310 Olindina";12;18096,00;64;1
"292320 Oliveira dos Brejinhos";10;15048,00;51;-
"292340 Palmas de Monte Alto";9;13860,00;50;1
"292360 Paramirim";10;15024,00;30;1
"292370 Paratinga";1;1500,00;3;-
"292400 Paulo Afonso";5;7612,00;16;2
"292430 Piatã";1;1500,00;2;-
"292440 Pilão Arcado";2;3000,00;10;-
"292460 Pindobaçu";41;61620,00;87;2
"292470 Piripá";3;4500,00;13;-
"292500 Planalto";12;18056,00;12;1
"292510 Poções";26;40168,72;145;1
"292525 Ponto Novo";8;12000,00;23;1
"292530 Porto Seguro";123;1419838,23;1457;44
"292560 Presidente Dutra";5;7572,00;15;1
"292575 Presidente Tancredo Neves";47;70500,00;124;8
"292600 Remanso";103;1116297,23;903;35
"292630 Riachão do Jacuípe";54;81501,95;208;6
"292640 Riacho de Santana";11;16500,00;30;1
"292660 Ribeira do Pombal";20;70826,56;96;6
"292670 Rio de Contas";1;1556,00;7;-
"292690 Rio do Pires";8;12152,00;21;1
"292720 Ruy Barbosa";22;33932,90;112;1
"292730 Salinas da Margarida";7;10500,00;11;-
"292740 Salvador";8803;68691883,03;87228;2064
"292790 Santa Inês";2;3080,00;10;-
"292810 Santa Maria da Vitória";1;1500,00;2;1
"292840 Santa Rita de Cássia";13;19558,68;35;1
"292800 Santaluz";34;51000,00;95;3
"292830 Santanópolis";5;7532,00;8;-
"292870 Santo Antônio de Jesus";121;524297,21;262;11
"292880 Santo Estêvão";16;24000,00;57;2
"292890 São Desidério";28;42785,20;171;-
"292895 São Domingos";1;1516,00;2;-
"292910 São Felipe";10;15000,00;27;1
"292900 São Félix";18;28524,32;6;1
"292905 São Félix do Coribe";21;31500,00;37;2
"292920 São Francisco do Conde";59;89282,18;214;5
"292925 São Gabriel";9;13500,00;35;-
"292940 São Miguel das Matas";18;27000,00;54;-
"292950 São Sebastião do Passé";33;49748,00;127;6
"292960 Sapeaçu";11;16500,00;15;1
"292990 Seabra";64;269473,53;484;18
"293010 Senhor do Bonfim";47;70509,34;118;2
"293030 Serra Dourada";15;22500,00;60;-
"293040 Serra Preta";7;10588,00;13;1
"293050 Serrinha";23;51891,41;199;2
"293070 Simões Filho";11;16500,00;30;4
"293077 Sobradinho";27;40500,00;153;2
"293110 Tanquinho";3;4516,00;7;1
"293130 Tapiramutá";6;9016,00;14;-
"293135 Teixeira de Freitas";227;1522732,52;1934;50
"293150 Teofilândia";21;32084,00;77;3
"293200 Uauá";21;31500,00;77;2
"293210 Ubaíra";11;16532,00;25;2
"293220 Ubaitaba";8;12144,00;23;2
"293250 Una";25;37500,99;98;5
"293280 Utinga";3;4500,00;13;-
"293290 Valença";135;530351,87;598;36
"293310 Várzea do Poço";3;4516,00;14;-
"293325 Vereda";9;13652,00;40;1
"293330 Vitória da Conquista";1383;8999701,39;11576;362
"293345 Wanderley";7;10500,00;56;-
"293350 Wenceslau Guimarães";1;1508,00;-;-
"310020 Abaeté";9;13728,66;53;1
"310090 Águas Formosas";37;57143,81;200;6
"310110 Aimorés";96;144568,00;394;5
"310120 Aiuruoca";8;79712,83;60;3
"310150 Além Paraíba";260;652992,35;1596;25
"310160 Alfenas";255;1673397,97;1742;59
"310170 Almenara";101;158134,66;544;23
"310260 Andradas";5;7915,58;15;-
"310340 Araçuaí";15;142760,03;136;2
"310350 Araguari";51;553902,64;370;20
"310375 Araporã";37;59436,47;62;2
"310400 Araxá";162;462660,15;1341;31
"310420 Arcos";4;6102,97;19;1
"310450 Arinos";7;10508,00;58;-
"310490 Baependi";45;143358,62;260;6
"310540 Barão de Cocais";3;4532,00;6;-
"310560 Barbacena";104;574787,94;811;21
"310590 Barroso";38;58210,96;217;2
"310620 Belo Horizonte";6829;38314843,18;77336;1381
"310630 Belo Oriente";2;3088,00;11;-
"310640 Belo Vale";16;24240,00;41;4
"310670 Betim";870;7203354,79;6795;201
"310690 Bicas";1;1500,00;14;-
"310710 Boa Esperança";58;92547,10;277;10
"310730 Bocaiúva";34;51518,32;209;2
"310740 Bom Despacho";42;66290,36;222;3
"310750 Bom Jardim de Minas";1;1500,00;1;-
"310800 Bom Sucesso";5;7500,00;21;-
"310860 Brasília de Minas";137;1210011,56;918;52
"310900 Brumadinho";81;122303,56;343;4
"310910 Bueno Brandão";1;1516,00;2;-
"310990 Caetanópolis";9;13564,00;19;1
"311000 Caeté";45;78217,95;64;3
"311050 Camanducaia";23;34860,00;72;1
"311060 Cambuí";5;7540,00;14;1
"311070 Cambuquira";6;9248,24;31;-
"311090 Campanha";15;22796,24;79;2
"311100 Campestre";4;6000,00;9;-
"311120 Campo Belo";219;792616,23;1694;45
"311180 Canápolis";45;68260,00;184;1
"311200 Candeias";2;3016,00;1;-
"311230 Capelinha";12;19455,77;111;3
"311260 Capinópolis";14;21104,00;47;-
"311320 Carandaí";2;3052,67;15;1
"311330 Carangola";193;1134756,55;1225;57
"311340 Caratinga";271;2075956,08;2137;66
"311430 Carmo do Paranaíba";30;45660,60;96;-
"311440 Carmo do Rio Claro";7;10524,00;13;-
"311450 Carmópolis de Minas";7;10588,00;21;-
"311460 Carrancas";3;4500,00;3;1
"311510 Cássia";36;59362,11;258;-
"311530 Cataguases";167;665491,07;1336;49
"311550 Caxambu";3;4628,00;16;-
"311580 Centralina";26;39000,00;61;-
"311660 Cláudio";1;1637,91;7;-
"311710 Conceição da Aparecida";5;7516,00;4;-
"311730 Conceição das Alagoas";22;34070,30;98;1
"311750 Conceição do Mato Dentro";6;9100,30;34;2
"311770 Conceição do Rio Verde";6;9000,00;10;-
"311800 Congonhas";40;142916,02;396;8
"311830 Conselheiro Lafaiete";138;787745,01;1215;26
"311840 Conselheiro Pena";14;21000,00;69;-
"311860 Contagem";1059;7732874,56;8814;270
"311880 Coração de Jesus";2;3000,00;5;-
"311940 Coronel Fabriciano";383;2287406,51;3197;96
"312020 Cristais";3;4788,82;4;-
"312050 Cristina";1;1500,00;5;-
"312080 Cruzília";16;25811,18;147;4
"312090 Curvelo";231;2057759,47;2064;48
"312160 Diamantina";84;490402,90;715;15
"312210 Divino das Laranjeiras";3;4500,00;9;-
"312230 Divinópolis";355;1629876,28;3049;65
"312390 Entre Rios de Minas";12;19112,39;48;-
"312400 Ervália";17;25637,14;100;1
"312410 Esmeraldas";49;73561,18;202;3
"312430 Espinosa";39;60152,60;116;1
"312490 Eugenópolis";49;73884,00;221;-
"312510 Extrema";183;1758906,21;1294;43
"312560 Felisburgo";22;33328,00;72;2
"312590 Ferros";1;1500,00;2;-
"312595 Fervedouro";14;21000,00;33;-
"312610 Formiga";113;289302,04;618;8
"312670 Francisco Sá";19;28892,00;162;2
"312710 Frutal";34;51487,21;124;6
"312760 Gouveia";3;4500,00;6;-
"312770 Governador Valadares";1166;12034590,30;8853;404
"312800 Guanhães";15;22971,90;47;1
"312830 Guaranésia";2;3048,00;6;-
"312860 Guarda-Mor";1;1508,00;1;-
"312870 Guaxupé";116;356152,42;694;16
"312910 Gurinhatã";3;4500,00;9;-
"312980 Ibirité";156;756190,38;1060;43
"313120 Ipanema";1;1508,00;1;-
"313130 Ipatinga";1038;8467464,24;11108;302
"313170 Itabira";258;1271762,11;1889;43
"313190 Itabirito";66;105778,65;456;6
"313220 Itaguara";10;15372,18;40;-
"313240 Itajubá";226;2501349,49;1596;60
"313270 Itambacuri";43;64845,20;203;2
"313310 Itanhandu";83;288091,21;585;7
"313320 Itanhomi";38;57716,00;163;2
"313330 Itaobim";84;128097,20;354;3
"313350 Itapecerica";1;1516,00;1;-
"313380 Itaúna";144;964330,58;1227;28
"313420 Ituiutaba";161;475539,91;1080;41
"313440 Iturama";129;194895,52;390;1
"313460 Jaboticatubas";22;33072,00;71;2
"313505 Jaíba";9;13764,00;33;1
"313510 Janaúba";141;974237,78;1259;49
"313520 Januária";28;42962,36;115;4
"313540 Jeceaba";2;3000,00;12;-
"313580 Jequitinhonha";11;16881,14;95;-
"313600 Joaíma";2;3032,00;3;-
"313620 João Monlevade";155;523303,58;1247;35
"313630 João Pinheiro";21;33564,49;146;2
"313650 Jordânia";5;7516,00;17;-
"313670 Juiz de Fora";1301;7670364,12;13800;226
"313690 Juruaia";7;10500,00;19;-
"313700 Ladainha";34;52276,66;177;3
"313710 Lagamar";5;7500,00;16;-
"313720 Lagoa da Prata";228;1476207,65;1574;28
"313760 Lagoa Santa";24;36359,94;114;3
"313770 Lajinha";3;4516,00;8;-
"313820 Lavras";95;528292,98;779;16
"313840 Leopoldina";305;2388969,56;2369;35
"313880 Luz";15;22966,70;33;1
"313900 Machado";4;6040,00;3;-
"313920 Malacacheta";11;16500,00;41;2
"313930 Manga";30;45064,80;143;10
"313940 Manhuaçu";544;4178728,02;5043;118
"313950 Manhumirim";120;195553,36;580;10
"313960 Mantena";136;205068,00;418;3
"313980 Mar de Espanha";6;9000,00;31;2
"314000 Mariana";78;136610,32;392;6
"314050 Martinho Campos";5;7700,00;25;-
"314070 Mateus Leme";55;93290,39;262;3
"314090 Matipó";21;31757,56;45;1
"314110 Matozinhos";1;1508,00;1;-
"314140 Medina";4;6095,15;9;-
"314150 Mendes Pimentel";8;12000,00;45;-
"314160 Mercês";11;16644,00;13;1
"314180 Minas Novas";24;37938,28;161;2
"314190 Minduri";1;1500,00;2;-
"314200 Mirabela";22;33112,00;35;2
"314220 Miraí";18;27542,00;40;-
"314240 Moema";5;7516,00;7;-
"314270 Montalvânia";16;24008,00;13;-
"314280 Monte Alegre de Minas";59;88524,00;190;1
"314290 Monte Azul";2;3064,00;8;-
"314300 Monte Belo";1;1500,00;3;-
"314310 Monte Carmelo";135;828472,71;924;27
"314320 Monte Santo de Minas";13;19716,78;55;-
"314330 Montes Claros";585;4216733,17;4948;148
"314350 Morada Nova de Minas";3;4500,00;14;-
"314390 Muriaé";380;2324217,56;2744;74
"314430 Nanuque";173;275584,48;703;21
"314470 Nova Era";1;1508,00;-;-
"314480 Nova Lima";225;448117,78;1116;15
"314500 Nova Ponte";10;15104,00;27;-
"314520 Nova Serrana";94;575712,96;668;12
"314530 Novo Cruzeiro";19;28500,00;46;1
"314560 Oliveira";137;493420,56;819;7
"314590 Ouro Branco";12;18000,00;70;-
"314600 Ouro Fino";174;261416,00;634;13
"314610 Ouro Preto";405;2911912,77;3379;90
"314630 Padre Paraíso";43;65549,00;215;2
"314710 Pará de Minas";106;917698,04;1041;27
"314700 Paracatu";162;393484,32;1285;28
"314730 Paraisópolis";6;9088,00;17;-
"314770 Passa Tempo";10;15012,00;1;-
"314750 Passabém";1;1500,00;2;-
"314790 Passos";262;2635016,58;2368;56
"314800 Patos de Minas";347;1896284,95;2389;67
"314810 Patrocínio";203;1260107,80;1668;41
"314860 Peçanha";30;45252,02;170;3
"314870 Pedra Azul";74;112325,83;449;23
"315120 Pirapora";282;975601,98;1677;59
"315150 Piumhi";119;212357,40;499;9
"315170 Poço Fundo";3;4532,00;7;-
"315180 Poços de Caldas";433;5358296,83;3573;105
"315200 Pompéu";22;33163,90;89;3
"315210 Ponte Nova";167;978657,36;1531;26
"315220 Porteirinha";85;129220,40;471;6
"315240 Poté";13;19736,06;49;1
"315250 Pouso Alegre";749;4371094,88;6558;174
"315340 Presidente Olegário";1;1500,00;8;-
"315420 Resende Costa";1;1500,00;3;-
"315430 Resplendor";207;319381,63;1068;21
"315460 Ribeirão das Neves";180;274823,70;985;18
"315550 Rio Paranaíba";24;36832,00;108;-
"315570 Rio Piracicaba";6;9000,00;222;1
"315580 Rio Pomba";11;16831,30;38;3
"315670 Sabará";160;243968,88;866;10
"315690 Sacramento";22;34547,53;82;1
"315700 Salinas";90;137143,50;488;9
"315710 Salto da Divisa";10;15208,00;27;4
"315720 Santa Bárbara";51;77124,00;106;1
"315770 Santa Juliana";1;1500,00;2;-
"315780 Santa Luzia";372;1146706,46;2597;42
"315790 Santa Margarida";19;28508,00;30;-
"315820 Santa Maria do Suaçuí";28;42000,00;60;1
"315930 Santa Rita de Jacutinga";1;1500,00;4;-
"315960 Santa Rita do Sapucaí";48;468556,47;349;16
"315990 Santo Antônio do Amparo";2;3000,00;5;-
"316040 Santo Antônio do Monte";4;6032,00;12;-
"316070 Santos Dumont";65;196035,52;421;13
"316100 São Domingos do Prata";3;4652,00;19;-
"316110 São Francisco";68;103190,37;146;5
"316200 São Gonçalo do Sapucaí";23;34820,78;62;1
"316210 São Gotardo";56;84752,85;275;2
"316240 São João da Ponte";65;99609,17;221;7
"316250 São João del Rei";154;2488846,83;1191;32
"316270 São João do Paraíso";8;12000,00;22;-
"316280 São João Evangelista";18;27064,00;82;2
"316370 São Lourenço";390;1816418,98;2354;72
"316420 São Romão";4;6016,00;6;-
"316470 São Sebastião do Paraíso";610;1665225,61;5060;125
"316570 Senador Firmino";1;1500,00;2;-
"316680 Serra do Salitre";38;57638,73;228;-
"316710 Serro";16;25028,89;140;-
"316720 Sete Lagoas";269;1282085,79;2068;46
"316800 Taiobeiras";61;544895,73;697;11
"316840 Tarumirim";10;15000,00;35;1
"316860 Teófilo Otoni";764;3676199,46;4835;157
"316870 Timóteo";138;288594,37;757;11
"316930 Três Corações";211;2018142,53;2146;26
"316935 Três Marias";11;16636,00;27;-
"316940 Três Pontas";133;649372,32;734;26
"316970 Turmalina";13;19748,12;51;1
"316990 Ubá";418;4061634,66;2893;106
"317010 Uberaba";763;4640508,76;5697;198
"317020 Uberlândia";1806;13469987,14;16666;414
"317040 Unaí";347;537475,11;1993;32
"317052 Urucuia";2;3080,00;10;-
"317070 Varginha";195;1446753,35;2005;49
"317090 Varzelândia";8;12256,00;33;-
"317100 Vazante";26;39147,90;122;1
"317120 Vespasiano";216;332408,10;1406;21
"317130 Viçosa";46;251299,68;341;6
"317180 Virginópolis";1;1500,00;2;-
"317200 Visconde do Rio Branco";157;316609,09;633;15
"320010 Afonso Cláudio";46;69452,31;142;3
"320040 Anchieta";137;206244,00;282;10
"320060 Aracruz";284;2051249,05;2395;56
"320080 Baixo Guandu";84;132252,07;642;2
"320090 Barra de São Francisco";71;109342,01;164;1
"320120 Cachoeiro de Itapemirim";1225;5706172,66;9354;187
"320130 Cariacica";25;270595,96;417;7
"320140 Castelo";7;10564,00;18;1
"320150 Colatina";522;3077150,78;2897;105
"320170 Conceição do Castelo";1;1500,00;2;-
"320190 Domingos Martins";52;80150,30;204;5
"320210 Ecoporanga";23;34532,00;58;-
"320230 Guaçuí";229;2152296,52;2245;63
"320240 Guarapari";1;1540,00;4;-
"320245 Ibatiba";51;78713,75;170;1
"320280 Itapemirim";266;1791927,45;2391;62
"320290 Itarana";4;6000,00;13;-
"320300 Iúna";74;112124,42;175;8
"320310 Jerônimo Monteiro";87;138713,73;568;6
"320316 Laranja da Terra";19;28537,95;61;-
"320320 Linhares";588;4451115,06;5320;141
"320340 Mimoso do Sul";42;65418,10;149;5
"320350 Montanha";31;46948,00;120;-
"320360 Mucurici";11;16500,00;21;-
"320370 Muniz Freire";33;50181,94;98;1
"320380 Muqui";21;31508,00;49;-
"320390 Nova Venécia";97;146976,23;463;7
"320410 Pinheiros";2;3048,00;10;-
"320435 Rio Bananal";1;1500,00;2;-
"320455 Santa Maria de Jetibá";34;51056,00;131;-
"320460 Santa Teresa";122;1507732,14;1256;44
"320470 São Gabriel da Palha";68;103224,00;291;1
"320480 São José do Calçado";66;141812,47;511;3
"320490 São Mateus";652;4257753,17;4071;96
"320500 Serra";3290;30792620,75;36451;1072
"320503 Vargem Alta";22;33016,00;73;2
